,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Prdx6,3.68656396105796e-48,0.243314261649707,1,0.995,3.55605959683651e-44
Hsd3b5,2.34724760223484e-47,0.244210434749973,0.379,0.141,2.26415503711572e-43
Fabp1,8.95884942696042e-45,0.157713976853627,1,1,8.64170615724602e-41
Gstm6,1.92576558574356e-44,0.326530211530774,0.685,0.42,1.85759348400824e-40
Cyp2c67,1.17518950919068e-43,0.336836363584169,0.747,0.488,1.13358780056533e-39
Ces3a,9.4234294720823e-43,0.269457903872436,0.998,0.983,9.08984006877058e-39
Tbx3,3.51702626203067e-41,0.279968631817739,0.503,0.249,3.39252353235478e-37
Cela1,2.20118199152298e-39,0.303061766560267,0.715,0.455,2.12326014902307e-35
Cyp2c55,6.66309278888423e-39,0.23680081094647,0.372,0.155,6.42721930415772e-35
C4bp,5.71451878933869e-38,0.210404040977977,1,0.996,5.5122248241961e-34
Akr1c20,6.30612062933709e-38,0.318764158910994,0.806,0.628,6.08288395905856e-34
Cyp2a22,1.34188395004765e-37,0.222137059562844,0.369,0.154,1.29438125821596e-33
Nrn1,1.81702630447228e-37,0.233907455524245,0.998,0.986,1.75270357329396e-33
Rspo3,3.55685109638147e-37,0.165144674600635,0.244,0.077,3.43093856756957e-33
Nat8f2,9.23337475779833e-35,0.252168145764168,0.991,0.979,8.90651329137227e-31
Npr2,8.3053228100581e-34,0.157404437789954,0.256,0.089,8.01131438258205e-30
Mup9,1.38194141835166e-33,0.367832687375597,0.908,0.853,1.33302069214201e-29
Ghr,1.42225835531419e-33,0.20984739009815,0.997,0.993,1.37191040953607e-29
Alas1,1.99277991879584e-33,0.331487416830199,0.711,0.499,1.92223550967047e-29
Cyp2c38,5.06237847200568e-33,0.24428424018702,0.547,0.306,4.88317027409668e-29
Ndrg1,9.03001279045724e-33,0.253154689194204,0.543,0.309,8.71035033767505e-29
Cdo1,1.79824417181895e-32,0.133973754883373,1,1,1.73458632813656e-28
Plbd1,2.56536993074102e-31,0.235927876618662,0.531,0.3,2.47455583519278e-27
Lgr5,2.97535576340129e-31,0.149029092792838,0.227,0.077,2.87002816937688e-27
Cyp7a1,5.93747067648091e-30,0.291053135262555,0.766,0.56,5.72728421453348e-26
Rcan2,5.53368807414298e-29,0.119055180409827,0.176,0.053,5.33779551631832e-25
Lifr,7.61770520653275e-28,0.213398725513779,0.976,0.932,7.34803844222149e-24
Hpd,9.66054644586247e-28,0.178992387443387,1,1,9.31856310167894e-24
Adh4,1.28276559047448e-27,0.226955525670062,0.567,0.342,1.23735568857169e-23
Idh3a,1.39832796308766e-27,0.244791400089668,0.611,0.401,1.34882715319436e-23
Vldlr,3.54712962428444e-27,0.128331595775592,0.194,0.064,3.42156123558478e-23
